Name in English,Countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude
Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",rup,Definitely endangered,500000,40.2292,21.1376
Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",brh,Vulnerable,500000,29.0369,66.5826
Languedocian,France,oci,Severely endangered,500000,43.8899,2.5378
Lezgian,"Azerbaijan, Russian Federation",lez,Vulnerable,500000,41.4921,48.0541
Mahasui,India,bfz,Definitely endangered,496024,31.2738,77.1295
Magar,Nepal,"mgp, mrd",Definitely endangered,489383,28.0816,83.4301
Mam (Guatemala),Guatemala,None,Vulnerable,477717,14.9305,-91.9078
Udmurt,Russian Federation,udm,Definitely endangered,463837,57.2315,52.8662
Huasteca Náhuatl,Mexico,nhe,Vulnerable,463183,21.3835,-98.9902
Kumyk,Russian Federation,kum,Vulnerable,458121,43.397,46.9775
Yakut,Russian Federation,sah,Vulnerable,456288,62.3496,130.8691
Kaqchikel (Guatemala),Guatemala,None,Vulnerable,444954,14.7814,-90.7925
Karbi,India,mjw,Vulnerable,420000,26.2934,93.2299
Eastern Mari,Russian Federation,mhr,Definitely endangered,414211,56.632,47.8784
Ingush,Russian Federation,inh,Vulnerable,405343,43.145,45.1043
Erzya,Russian Federation,myv,Definitely endangered,400000,54.1302,45.4394
Ho,India,hoc,Vulnerable,400000,21.637,86.4404
Judezmo (Israel),Israel,lad,Severely endangered,400000,32.0872,34.7737
Lalo,China,"yik, ywt, yit, ywl",Vulnerable,400000,25.383,99.9426
Limousin,France,oci,Severely endangered,400000,46.0579,1.8017
Logudorese,Italy,src,Definitely endangered,400000,40.1116,9.1845
Mapuche (Chile),Chile,arn,Definitely endangered,400000,-38.5653,-73.081
Central Náhuatl,Mexico,"nhn, nch, ncx",Vulnerable,395581,19.191,-99.0236
Moselle Franconian,"Germany, Belgium, France, Luxembourg",ltz,Vulnerable,390000,49.6071,6.1248
Bantawa,Nepal,bap,Vulnerable,371056,27.0994,87.0048
Santa,China,sce,Vulnerable,360000,35.5411,102.7935
Mingrelian,Georgia,xmf,Definitely endangered,350000,42.4599,41.7205
West Frisian,Netherlands,fry,Vulnerable,350000,53.1006,5.6579
Gurung,Nepal,"ggn, gvr",Definitely endangered,338925,28.275,84.1782
Guajiro,"Colombia, Venezuela (Bolivarian Republic of)",guc,Vulnerable,318500,11.8673,-71.9824
Karachay-Balkar,Russian Federation,krc,Vulnerable,302748,44.2137,42.8466
Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",ady,Vulnerable,300000,44.9181,39.7485
Buryat (Trans-Baikal),Russian Federation,"bxm, bxr, bxu",Definitely endangered,300000,50.8336,109.5117
Kurru,India,yeu,Definitely endangered,300000,16.6151,81.6284
Kuvi,India,kxv,Definitely endangered,300000,18.9478,83.5839
Limbu,"India, Nepal",lif,Definitely endangered,300000,27.096,87.7356
Moroccan Judeo-Arabic (Israel),Israel,aju,Definitely endangered,300000,32.0476,34.7552
Plautdietsch,Ukraine,pdt,Definitely endangered,300000,47.0738,35.5545
Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",pnt,Definitely endangered,300000,40.847,40.0149
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,300000,-1.8673,-78.9257
Waxiang,China,wxa,Vulnerable,300000,28.5652,110.3576
Oyrat,"China, Kyrgyzstan, Mongolia",xal,Definitely endangered,280000,46.195,88.7255
Garhwali,India,gbm,Vulnerable,279500,30.0976,79.1235
Bade,Nigeria,bde,Vulnerable,250000,12.801,11.1181
Breton,France,bre,Severely endangered,250000,48.2246,-3.9331
Gascon,"Spain, France",oci,Definitely endangered,250000,43.1811,-0.1428
Phula (China),China,"ypa, ypg, ypo, yip, ypn, yhl, ypb, phh, ypm, ypp, yph, ypz",Vulnerable,250000,22.6001,104.0004
Sora,India,srb,Vulnerable,250000,19.1244,83.2104
Konyak,India,nbe,Vulnerable,248000,26.9367,95.1745
Ao,India,ngo,Vulnerable,243000,26.4361,94.6472
Tuvan,"China, Mongolia, Russian Federation",tyv,Vulnerable,242754,51.7134,94.3945
Nafusi,Libyan Arab Jamahiriya,jbn,Severely endangered,240000,32.6393,13.4252
Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","aii, cld",Definitely endangered,240000,36.4477,43.2971
Malto,India,kmj,Definitely endangered,224926,23.7853,85.4736
